District,Hong Kong Island,Kowloon,New Territories,Other
Central and Western,69880,16916,5617,1596
Wan Chai,44337,10759,3493,1172
Eastern,132531,43826,14718,4128
Southern,70944,16557,5584,2152
Yau Tsim Mong,71917,23661,15968,4192
Sham Shui Po,64660,47740,28275,6765
Kowloon City,65079,53720,18949,4508
Wong Tai Sin,50511,62624,23929,6226
Kwun Tong,126987,59388,35079,8895
Kwai Tsing,63307,51343,46531,11672
Tsuen Wan,51338,34652,28802,6690
Tuen Mun,78264,41987,47983,15483
Yuen Long,63551,56494,89807,24624
North,34220,26195,33593,9423
Tai Po,42681,33805,28057,7137
Sha Tin,90889,85632,59360,11897
Sai Kung,89649,76610,18924,7665
Islands,32580,14011,8630,12304
