,Mean Absolute SHAP,Mean SHAP,Std SHAP,Min SHAP,Max SHAP
COMPANY_CODE_KMB,1.2452222715227583,-0.13739624665428887,1.3640003306041257,-3.11944176927848,3.242434339299495
DISTANCE_KM,1.2087486532961347,0.045748820965152516,1.7989775250821964,-2.39215754379548,7.156397679392382
BUS_DENSITY_DIFF,0.45621546328602297,-0.07993850064687215,0.5543351694180623,-0.776755489097029,2.334616816108827
DENSITY_DIFF,0.37319251216417304,-0.012702979204878636,0.44404629873591067,-0.5748715398005332,1.6547361825697322
FLOW_RATIO,0.32701978592017056,-0.060122505604936295,0.3861187408290081,-0.6295662024547325,1.9241046592803304
COMPANY_CODE_CTB,0.2926646917917494,-0.04960132154433293,0.3958145045378428,-1.3356543110725736,1.6879339797014286
NET_FLOW,0.29047514992457957,-0.018940623486484273,0.34719158962290336,-0.6249073258330593,1.3150789699194594
END_Bus_Station_Density,0.2563332447110814,-0.09194871254437109,0.3095517770600952,-0.8364675895963941,1.2031901322472198
START_Population_Density,0.23367074423121398,0.03620179704089901,0.2879606695028668,-0.44529002355536945,1.1785125534982333
START_Bus_Station_Density,0.21422867614339985,-0.011212798863728347,0.27449989073699704,-0.4755062111003273,1.1360485109841278
